sample_id,total_c_ug,total_n_ug,site_id,zone,soil_depth,site_treatment,treatment
N4-CON-3-soil-15,1510.29,68.8,N4,north,15,N4-CON,CON
N4-CON-3-soil-30,1914.4,129.23,N4,north,30,N4-CON,CON
N4-CON-3-soil-60,815.1,53.98,N4,north,60,N4-CON,CON
N4-CON-4-soil-15,1710.74,100.73,N4,north,15,N4-CON,CON
N4-CON-4-soil-30,810.8,73.41,N4,north,30,N4-CON,CON
N4-CON-4-soil-60,1058.05,56.7,N4,north,60,N4-CON,CON
N4-CON-5-soil-15,1448.95,75.16,N4,north,15,N4-CON,CON
N4-CON-6-soil-15,1313.28,115.56,N4,north,15,N4-CON,CON
N4-CON-6-soil-30,558.85,57,N4,north,30,N4-CON,CON
N4-CON-6-soil-60,178.52,20.27,N4,north,60,N4-CON,CON
N4-CON-7-soil-15,1681.5,154.83,N4,north,15,N4-CON,CON
N4-CON-7-soil-30,653.37,71.98,N4,north,30,N4-CON,CON
N4-CON-7-soil-60,332.15,39.16,N4,north,60,N4-CON,CON
N4-CON-8-soil-15,1304.75,112.44,N4,north,15,N4-CON,CON
N4-CON-8-soil-30,434.48,44.17,N4,north,30,N4-CON,CON
N4-CON-8-soil-60,138.49,16.46,N4,north,60,N4-CON,CON
N4-CON-9-soil-15,1855.5,122.41,N4,north,15,N4-CON,CON
N4-CON-9-soil-30,913.01,69.55,N4,north,30,N4-CON,CON
N4-CON-9-soil-60,520,40.1,N4,north,60,N4-CON,CON
N7-CO2-10-soil-15,1379.49,107.05,N7,north,15,N7-CO2,CO2
N7-CO2-10-soil-30,746.25,66.46,N7,north,30,N7-CO2,CO2
N7-CO2-1-soil-15,700.94,58.99,N7,north,15,N7-CO2,CO2
N7-CO2-1-soil-30,740.39,71.35,N7,north,30,N7-CO2,CO2
N7-CO2-1-soil-60,532.2,51.75,N7,north,60,N7-CO2,CO2
N7-CO2-2-soil-15,1066.33,93.69,N7,north,15,N7-CO2,CO2
N7-CO2-2-soil-30,695.78,66.95,N7,north,30,N7-CO2,CO2
N7-CO2-2-soil-60,370.47,33.86,N7,north,60,N7-CO2,CO2
N7-CO2-3-soil-15,946.09,83.26,N7,north,15,N7-CO2,CO2
N7-CO2-3-soil-30,563.9,55.58,N7,north,30,N7-CO2,CO2
N7-CO2-4-soil-15,837.56,74.8,N7,north,15,N7-CO2,CO2
N7-CO2-4-soil-30,490.38,46.74,N7,north,30,N7-CO2,CO2
N7-CO2-4-soil-60,254.82,22.82,N7,north,60,N7-CO2,CO2
N7-CO2-5-soil-15,1130.14,96.57,N7,north,15,N7-CO2,CO2
N7-CO2-5-soil-30,628.15,59.55,N7,north,30,N7-CO2,CO2
N7-CO2-5-soil-60,347.17,32.71,N7,north,60,N7-CO2,CO2
N7-CO2-6-soil-15,1028.52,75.41,N7,north,15,N7-CO2,CO2
N7-CO2-6-soil-30,656.32,56.08,N7,north,30,N7-CO2,CO2
N7-CO2-6-soil-60,284.39,26.22,N7,north,60,N7-CO2,CO2
N7-CO2-7-soil-15,979.84,81.27,N7,north,15,N7-CO2,CO2
N7-CO2-7-soil-30,671.63,65.13,N7,north,30,N7-CO2,CO2
