sample_id,total_c_ug,total_n_ug,delta_c13,delta_n15,site_treatment,zone,soil_depth,treatment,site_id
N3-CO2-7-soil-15,1435.79,23.75,-0.65,3.47,N3-CO2,North,15,CO2,N3
N3-CO2-7-soil-30,1278.67,10.3,3.37,3.63,N3-CO2,North,30,CO2,N3
N3-CO2-8-soil-15,1398.63,47.69,-5.05,4.19,N3-CO2,North,15,CO2,N3
N3-CO2-8-soil-30,1363.25,61.26,-4.96,6.2,N3-CO2,North,30,CO2,N3
N3-CO2-8-soil-60,1321.22,5.06,5.22,1.92,N3-CO2,North,60,CO2,N3
N3-CO2-9-soil-15,851.46,79.89,-28.68,4.57,N3-CO2,North,15,CO2,N3
N3-CO2-9-soil-30,560.78,59.55,-27.76,6.03,N3-CO2,North,30,CO2,N3
N3-CO2-9-soil-60,1207.51,3.92,5.58,1.55,N3-CO2,North,60,CO2,N3
N3-CO2-soil-60,154.39,11.54,-27.45,3.74,N3-CO2,North,60,CO2,N3
N3-CON-10-soil-15,2953.38,232.59,-29,1.54,N3-CON,North,15,CON,N3
N3-CON-10-soil-30,1219.53,90.16,-28.56,1.43,N3-CON,North,30,CON,N3
N3-CON-10-soil-60,601.59,38.53,-28.38,1,N3-CON,North,60,CON,N3
N3-CON-1-soil-15,2084.63,165.83,-29.82,1.93,N3-CON,North,15,CON,N3
N3-CON-1-soil-60,1493.64,92.88,-28.14,4.79,N3-CON,North,60,CON,N3
N3-CON-2-soil-15,2281.81,178.15,-27.95,2.27,N3-CON,North,15,CON,N3
N3-CON-2-soil-30,877.68,81.87,-27.72,3.08,N3-CON,North,30,CON,N3
N3-CON-2-soil-60,239.13,19.88,-27.24,2.39,N3-CON,North,60,CON,N3
N3-CON-3-soil-15,2596.2,204.51,-29.03,1.66,N3-CON,North,15,CON,N3
N3-CON-3-soil-30,771.4,70.27,-28.57,2.76,N3-CON,North,30,CON,N3
N3-CON-3-soil-60,133.25,13.16,-28.15,2.37,N3-CON,North,60,CON,N3
N3-CON-4-soil-15,3567.81,275.32,-27.7,1.85,N3-CON,North,15,CON,N3
N3-CON-4-soil-30,1165.57,108.12,-27.97,3.8,N3-CON,North,30,CON,N3
N3-CON-4-soil-60,172.95,16.45,-27.46,3.19,N3-CON,North,60,CON,N3
N3-CON-5-soil-15,2737.31,214.76,-29.36,1.54,N3-CON,North,15,CON,N3
N3-CON-5-soil-15-D,557.41,52.13,-28.18,2.59,N3-CON,North,-D,CON,N3
N3-CON-5-soil-60,98.74,10.51,-28.13,2.74,N3-CON,North,60,CON,N3
N3-CON-6-soil-15,1588.29,142.02,-29.33,3.32,N3-CON,North,15,CON,N3
N3-CON-6-soil-30,324.88,28.79,-28.49,3.07,N3-CON,North,30,CON,N3
N3-CON-7-soil-15,1341.45,122.25,-29.68,2.73,N3-CON,North,15,CON,N3
N3-CON-7-soil-15-D,105.1,11.08,-28.63,2.63,N3-CON,North,-D,CON,N3
N3-CON-7-soil-30,461.06,45.3,-28.29,4.68,N3-CON,North,30,CON,N3
N3-CON-8-soil-15,3026.04,238.96,-29.63,2.34,N3-CON,North,15,CON,N3
N3-CON-8-soil-30,380.32,39.25,-27.96,4.42,N3-CON,North,30,CON,N3
N3-CON-8-soil-60,111.38,10.58,-28.46,2.25,N3-CON,North,60,CON,N3
N3-CON-8-soil-60-D,156.97,14.6,-27.97,3.09,N3-CON,North,-D,CON,N3
N3-CON-9-soil-15,2440.86,204.56,-29.29,2.74,N3-CON,North,15,CON,N3
N3-CON-9-soil-30,106.7,10.19,-28.18,3.99,N3-CON,North,30,CON,N3
N3-CON-9-soil-60,138.1,12.34,-28.02,9.78,N3-CON,North,60,CON,N3
N4-CO2-10-soil-15,1470.48,42.41,-5.57,0.51,N4-CO2,North,15,CO2,N4
N4-CO2-10-soil-30,862.13,9.13,2.67,1.84,N4-CO2,North,30,CO2,N4
N4-CO2-10-soil-60,834.78,75.93,-28.21,4.57,N4-CO2,North,60,CO2,N4
N4-CO2-1-soil-15,1912.86,86.32,-13.15,1.8,N4-CO2,North,15,CO2,N4
N4-CO2-1-soil-30,1268.9,15.82,0.21,2.48,N4-CO2,North,30,CO2,N4
N4-CO2-1-soil-60,119.18,10.4,-23.01,6.28,N4-CO2,North,60,CO2,N4
N4-CO2-2-soil-15,1466.53,31.31,-3.63,0.84,N4-CO2,North,15,CO2,N4
N4-CO2-2-soil-30,1296.9,17.69,-0.3,1.9,N4-CO2,North,30,CO2,N4
N4-CO2-2-soil-60,84.48,9.99,-25.24,3.98,N4-CO2,North,60,CO2,N4
N4-CO2-3-soil-15,1741.39,79.6,-11.84,1.74,N4-CO2,North,15,CO2,N4
N4-CO2-3-soil-30,742.84,23.12,-5.38,3.43,N4-CO2,North,30,CO2,N4
N4-CO2-3-soil-60,72.37,3.76,-20.13,1.82,N4-CO2,North,60,CO2,N4
N4-CO2-4-soil-15,2641.31,209.8,-28.31,1.03,N4-CO2,North,15,CO2,N4
N4-CO2-4-soil-30,201.43,11.77,-24.61,1.26,N4-CO2,North,30,CO2,N4
N4-CO2-4-soil-60,70.37,3.32,-20.41,3.89,N4-CO2,North,60,CO2,N4
N4-CO2-5-soil-15,2748.36,174.88,-27.44,1.39,N4-CO2,North,15,CO2,N4
N4-CO2-5-soil-30,659.08,46.62,-27.23,1.95,N4-CO2,North,30,CO2,N4
N4-CO2-5-soil-60,307.56,27.18,-27.29,3.69,N4-CO2,North,60,CO2,N4
N4-CO2-6-soil-15,4008.46,249.75,-29.27,1.87,N4-CO2,North,15,CO2,N4
N4-CO2-6-soil-30,815.86,60.58,-26.15,4.96,N4-CO2,North,30,CO2,N4
N4-CO2-7-soil-15,3854.09,256.46,-29.17,1.52,N4-CO2,North,15,CO2,N4
N4-CO2-7-soil-30,1031.32,73.1,-20.97,4.26,N4-CO2,North,30,CO2,N4
N4-CO2-8-soil-15,1825.75,71.81,-11.9,2.03,N4-CO2,North,15,CO2,N4
N4-CO2-8-soil-30,361.44,14.01,-6.8,3.87,N4-CO2,North,30,CO2,N4
N4-CO2-8-soil-30-D,817.15,32.33,-8.46,4.93,N4-CO2,North,-D,CO2,N4
N4-CO2-8-soil-60,3042.59,244.82,-27.76,1.15,N4-CO2,North,60,CO2,N4
N4-CO2-9-soil-15,1997.15,100.93,-17.51,2.07,N4-CO2,North,15,CO2,N4
N4-CO2-9-soil-30,1479.11,47.71,-7.66,1.21,N4-CO2,North,30,CO2,N4
N4-CO2-9-soil-60,520.72,10.26,-0.28,4.22,N4-CO2,North,60,CO2,N4
N4-CON-10-soil-15,1231.39,45.67,-15.71,1.04,N4-CON,North,15,CON,N4
N4-CON-10-soil-30,1033.44,49.03,-17.54,1.79,N4-CON,North,30,CON,N4
N4-CON-10-soil-60,900.88,40.22,-21.03,1.16,N4-CON,North,60,CON,N4
N4-CON-1-soil-15,2215.83,167.85,-29.5,3.23,N4-CON,North,15,CON,N4
N4-CON-1-soil-30,522.17,52.62,-27.86,5.72,N4-CON,North,30,CON,N4
N4-CON-1-soil-60,210.76,23.02,-24.39,6.45,N4-CON,North,60,CON,N4
N4-CON-2-soil-15,2155.8,150.03,-30.22,2.4,N4-CON,North,15,CON,N4
N4-CON-2-soil-30,644.24,55.07,-29.41,3.72,N4-CON,North,30,CON,N4
N4-CON-2-soil-60,77.84,10.17,-27.82,4.16,N4-CON,North,60,CON,N4
N4-CON-3-soil-15,1510.29,68.8,-18.05,2.51,N4-CON,North,15,CON,N4
N4-CON-3-soil-30,1914.4,129.23,-27.43,3.09,N4-CON,North,30,CON,N4
N4-CON-3-soil-60,815.1,53.98,-27.86,2.05,N4-CON,North,60,CON,N4
N4-CON-4-soil-15,1710.74,100.73,-24.47,2.1,N4-CON,North,15,CON,N4
N4-CON-4-soil-30,810.8,73.41,-26.13,3.61,N4-CON,North,30,CON,N4
N4-CON-4-soil-60,1058.05,56.7,-25.96,1.04,N4-CON,North,60,CON,N4
N4-CON-5-soil-15,1448.95,75.16,-23.36,1.99,N4-CON,North,15,CON,N4
N4-CON-6-soil-15,1313.28,115.56,-28.51,4.27,N4-CON,North,15,CON,N4
N4-CON-6-soil-30,558.85,57,-26.11,6.34,N4-CON,North,30,CON,N4
N4-CON-6-soil-60,178.52,20.27,-26.82,7.24,N4-CON,North,60,CON,N4
N4-CON-7-soil-15,1681.5,154.83,-29.1,3.84,N4-CON,North,15,CON,N4
N4-CON-7-soil-30,653.37,71.98,-27.98,5.61,N4-CON,North,30,CON,N4
N4-CON-7-soil-60,332.15,39.16,-26.43,7.27,N4-CON,North,60,CON,N4
N4-CON-8-soil-15,1304.75,112.44,-29.63,3.35,N4-CON,North,15,CON,N4
N4-CON-8-soil-30,434.48,44.17,-22.82,7.1,N4-CON,North,30,CON,N4
N4-CON-8-soil-60,138.49,16.46,-27.26,6.41,N4-CON,North,60,CON,N4
